run_id,stage,step,progress,layer,alpha,bin_index,bin_low,bin_high,bin_count,bin_agree_count,bin_agreement,bin_damage
1,pilot,14000,0.0979020979020979,3,0.5,1,0.05,0.1,397,222.0,0.5591939546599496,0.4408060453400504
1,pilot,14000,0.0979020979020979,3,0.5,2,0.1,0.2,882,603.0,0.6836734693877551,0.3163265306122449
1,pilot,14000,0.0979020979020979,3,0.5,3,0.2,0.4,1372,1142.0,0.8323615160349854,0.16763848396501457
1,pilot,14000,0.0979020979020979,3,0.5,4,0.4,1.01,1847,1763.0,0.9545208446128858,0.04547915538711422
1,pilot,14000,0.0979020979020979,3,0.75,0,0.0,0.05,110,35.0,0.3181818181818182,0.6818181818181819
1,pilot,14000,0.0979020979020979,3,0.75,1,0.05,0.1,397,154.0,0.3879093198992443,0.6120906801007557
1,pilot,14000,0.0979020979020979,3,0.75,2,0.1,0.2,882,443.0,0.5022675736961452,0.49773242630385484
1,pilot,14000,0.0979020979020979,3,0.75,3,0.2,0.4,1372,948.0,0.6909620991253644,0.30903790087463556
1,pilot,14000,0.0979020979020979,3,0.75,4,0.4,1.01,1847,1573.0,0.8516513264753655,0.14834867352463454
1,pilot,14000,0.0979020979020979,3,1.0,0,0.0,0.05,110,10.0,0.09090909090909091,0.9090909090909091
1,pilot,14000,0.0979020979020979,3,1.0,1,0.05,0.1,397,80.0,0.20151133501259447,0.7984886649874056
1,pilot,14000,0.0979020979020979,3,1.0,2,0.1,0.2,882,251.0,0.28458049886621317,0.7154195011337868
1,pilot,14000,0.0979020979020979,3,1.0,3,0.2,0.4,1372,591.0,0.43075801749271136,0.5692419825072886
1,pilot,14000,0.0979020979020979,3,1.0,4,0.4,1.01,1847,1071.0,0.5798592311857066,0.4201407688142934
1,pilot,14000,0.0979020979020979,4,0.25,0,0.0,0.05,110,78.0,0.7090909090909091,0.2909090909090909
1,pilot,14000,0.0979020979020979,4,0.25,1,0.05,0.1,397,319.0,0.8035264483627204,0.19647355163727964
1,pilot,14000,0.0979020979020979,4,0.25,2,0.1,0.2,882,779.0,0.8832199546485261,0.1167800453514739
1,pilot,14000,0.0979020979020979,4,0.25,3,0.2,0.4,1372,1304.0,0.9504373177842566,0.04956268221574345
1,pilot,14000,0.0979020979020979,4,0.25,4,0.4,1.01,1847,1837.0,0.9945858148348673,0.005414185165132701
1,pilot,14000,0.0979020979020979,4,0.5,0,0.0,0.05,110,62.0,0.5636363636363636,0.4363636363636364
1,pilot,14000,0.0979020979020979,4,0.5,1,0.05,0.1,397,252.0,0.6347607052896725,0.36523929471032746
1,pilot,14000,0.0979020979020979,4,0.5,2,0.1,0.2,882,670.0,0.7596371882086168,0.2403628117913832
1,pilot,14000,0.0979020979020979,4,0.5,3,0.2,0.4,1372,1220.0,0.8892128279883382,0.11078717201166177
1,pilot,14000,0.0979020979020979,4,0.5,4,0.4,1.01,1847,1804.0,0.9767190037899296,0.023280996210070404
1,pilot,14000,0.0979020979020979,4,0.75,0,0.0,0.05,110,45.0,0.4090909090909091,0.5909090909090908
1,pilot,14000,0.0979020979020979,4,0.75,1,0.05,0.1,397,204.0,0.5138539042821159,0.48614609571788414
